

AFRICA,"Population
(2020 Est.)","Internet
Users
31-Dec-2000","Internet
Users
30-SEPT-20","Penetration
(% Population)","Internet
Growth %
2000 - 2020","Facebook
subscribers
30-SEPT-2020"
Algeria,"43,851,044","50,000","25,428,159",58.0%,"50,756%","24,730,000"
Angola,"32,866,272","30,000","8,980,670",27.3%,"29,835%","2,244,000"
Benin,"12,123,200","15,000","3,801,758",31.4%,"25,245%","920,000"
Botswana,"2,351,627","15,000","1,116,079",47.5%,"7,340%","830,000"
Burkina Faso,"20,903,273","10,000","4,594,265",22.0%,"45,842%","840,000"
Burundi,"11,890,784","3,000","1,154,568",9.7%,"38,385%","450,000"
Cabo Verde,"555,987","8,000","352,120",63.3%,"4,302%","240,000"
Cameroon,"26,545,863","20,000","7,878,422",29.7%,"39,292%","2,700,000"
Central African Rep.,"4,829,767","1,500","655,466",13.6%,"43,597%","122,100"
Chad,"16,425,864","1,000","2,237,932",13.6%,"223,693%","328,000"
Comoros,"869,901","1,500","178,500",20.5%,"11,800%","178,500"
Congo,"5,518,087",500,"732,800",13.3%,"146,460%","732,800"
"Congo, Dem. Rep.","89,561,403",500,"16,355,917",18.3%,"3,271,083%","3,117,000"
Cote d'Ivoire,"26,378,274","40,000","12,253,653",46.5%,"30,534%","4,758,000"
Djibouti,"988,000","1,400","548,832",55.5%,"39,102%","211,700"
Egypt,"102,334,404","450,000","49,231,493",48.1%,"10,840%","42,400,000"
Equatorial Guinea,"1,402,985",500,"356,891",25.4%,"71,278%","100,600"
Eritrea,"3,546,421","5,000","293,343",8.3%,"5,766%","21,900"
Eswatini,"1,160,164","10,000","665,245",57.3%,"6,552%","255,200"
Ethiopia,"114,963,588","10,000","20,507,255",17.8%,"204,972%","6,007,000"
Gabon,"2,225,734","15,000","1,307,641",58.8%,"8,617%","743,000"
Gambia,"2,416,668","4,000","442,050",18.3%,"10,951%","370,100"
Ghana,"31,072,940","30,000","11,737,818",37.8%,"39,026%","4,900,000"
Guinea,"13,132,795","8,000","2,411,672",18.4%,"30,046%","2,008,000"
Guinea-Bissau,"1,968,001","1,500","250,000",12.7%,"16,567%","140,000"
Kenya,"53,771,296","200,000","46,870,422",87.2%,"23,335%","7,000,000"
Lesotho,"2,142,249","4,000","682,990",31.9%,"16,975%","445,600"
Liberia,"5,057,681",500,"624,610",12.3%,"124,822%","537,000"
Libya,"6,871,292","10,000","5,100,000",74.2%,"50,900%","5,094,000"
Madagascar,"27,691,018","30,000","2,643,025",9.5%,"8,710%","2,317,000"
Malawi,"19,129,952","15,000","2,717,243",14.2%,"18,015%","500,200"
Mali,"20,250,833","18,800","12,480,176",61.6%,"66,284%","1,670,100"
Mauritania,"4,649,658","5,000","969,519",20.9%,"19,290%","796,900"
Mauritius,"1,271,768","87,000","852,000",67.0%,879%,"852,000"
Mayotte (FR),"272,815",n/a,"107,940",39.6%,n/a,"91,400"
Morocco,"36,910,560","100,000","23,739,581",64.3%,"23,639%","18,330,000"
Mozambique,"31,255,435","30,000","6,523,613",20.9%,"21,645%","2,448,000"
Namibia,"2,540,905","30,000","1,347,418",53.0%,"4,391%","692,400"
Niger,"24,206,644","5,000","2,781,266",11.5%,"55,525%","500,200"
Nigeria,"206,139,589","200,000","126,078,999",61.2%,"62,939%","27,120,000"
Reunion (FR),"895,312","130,000","553,000",61.8%,325%,"544,000"
Rwanda,"12,952,218","5,000","5,981,638",46.2%,"119,532%","592,400"
Saint Helena (UK),"6,077",n/a,"2,300",37.8%,n/a,"2,300"
Sao Tome & Principe,"219,159","6,500","63,864",29.1%,882%,"58,400"
Senegal,"16,743,927","40,000","9,749,527",58.2%,"24,274%","3,408,000"
Seychelles,"98,347","6,000","71,300",72.5%,"1,088%","71,000"
Sierra Leone,"7,976,983","5,000","1,043,725",13.1%,"20,774%","693,400"
Somalia,"15,893,222",200,"1,705,300",10.7%,"852,550%","1,666,500"
South Africa,"59,308,690","2,400,000","32,615,165",55.0%,"1,259%","21,280,000"
South Sudan,"11,193,725",n/a,"887,722",7.9%,n/a,"282,901"
Sudan,"43,849,260","30,000","13,124,100",29.9%,"43,647%","1,300,000"
Tanzania,"59,734,218","115,000","23,142,960",38.7%,"20,024%","4,271,000"
Togo,"8,278,724","100,000","1,011,837",12.2%,912%,"658,100"
Tunisia,"11,818,619","100,000","7,898,534",66.8%,"7,798%","7,445,000"
Uganda,"45,741,007","40,000","18,502,166",40.4%,"46,155%","2,471,000"
Western Sahara,"597,339",n/a,"28,000",4.7%,n/a,"27,000"
Zambia,"18,383,955","20,000","9,870,427",53.7%,"49,252%","2,253,000"
Zimbabwe,"14,862,924","50,000","8,400,000",56.5%,"16,700%","994,000"
TOTAL AFRICA,"1,340,598,447","4,514,400","526,710,313",39.3%,"11,567%","212,911,701"
Rest of World,"6,456,017,263",82.8%,"4,058,868,405",62.9%,88.5%,"2,011,815,020"
WORLD TOTAL,"7,796,615,710",100.0%,"4,585,578,718",58.8%,100.0%,"2,224,726,721"
"NOTES: (1) Africa Internet Statistics for Dec 31, 2019, updated as of March 21, 2020. (2) Africa Facebook subscribers are estimated for December 31, 2019. (3) CLICK on each country name for further data on individual countries and regions. (4) Africa Population numbers are mid-year 2020 estimates, based on data from the United Nations Population Division. (5) For definitions, navigation help and methodology, see the site surfing guide. (6) Africa Internet usage information comes from, among others, data published by WWW, ITU , Facebook, and other trustworthy information sources. (7) For Internet growth comparison purposes, baseline Internet usage data for the year 2000 is also displayed. (8) Data from this table may be cited, giving the due credit to Internet World Stats and establishing a link back to www.internetworldstats.com Copyright 2020, © Miniwatts Marketing Group. All rights reserved worldwide.",,,,,,
